Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q02779,4294,CCDS12549.1,110440,"ATP binding;
bHLH transcription factor binding;
JUN kinase kinase kinase activity;
protein homodimerization activity;
protein kinase activity;
protein serine/threonine kinase activity;
transcription corepressor activity","Kinase;
Serine/threonine-protein kinase;
Transferase","activation of JUN kinase activity;
apoptotic process;
JNK cascade;
negative regulation of DNA binding transcription factor activity;
negative regulation of transcription, DNA-templated;
peptidyl-serine phosphorylation;
peptidyl-threonine phosphorylation;
positive regulation of apoptotic process;
positive regulation of JNK cascade;
positive regulation of JUN kinase activity;
protein autophosphorylation;
signal transduction;
smoothened signaling pathway",,Other locations,,,,"3D-structure;
Complete proteome;
Reference proteome",
Q02818,4924,CCDS12740.1,110978,"calcium ion binding;
DNA binding;
G-protein alpha-subunit binding",DNA-binding,"cellular protein metabolic process;
post-translational protein modification;
regulation of protein targeting;
response to cisplatin",,"Endoplasmic reticulum;
Endosome;
Extracellular region or secreted;
Golgi apparatus;
Nucleus;
Other locations","Cytoplasm;
Golgi apparatus;
Membrane;
Secreted",,,"3D-structure;
Complete proteome;
Reference proteome",
Q02928,1579,CCDS543.1,107951,"alkane 1-monooxygenase activity;
arachidonic acid epoxygenase activity;
heme binding;
iron ion binding;
leukotriene-B4 20-monooxygenase activity;
monooxygenase activity","Monooxygenase;
Oxidoreductase","arachidonic acid metabolic process;
epoxygenase P450 pathway;
fatty acid metabolic process;
leukotriene metabolic process;
long-chain fatty acid metabolic process;
omega-hydroxylase P450 pathway;
oxidation-reduction process;
positive regulation of icosanoid secretion;
pressure natriuresis;
regulation of lipid metabolic process;
renal water homeostasis;
sodium ion homeostasis",,"Endoplasmic reticulum;
Plasma Membrane;
Other locations","Endoplasmic reticulum;
Membrane;
Microsome",,,"Complete proteome;
Direct protein sequencing;
Reference proteome","CYP4A11v seems to be a rare allelic variant of CYP4A11, it seems to be unstable and not to metabolize lauric acid."
Q02930,9586,CCDS43562.1,114954,"DNA binding;
DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding","Activator;
DNA-binding","positive regulation of transcription, DNA-templated;
transcription by RNA polymerase II","Transcription;
Transcription regulation","Extracellular region or secreted;
Nucleus",Nucleus,,,"Complete proteome;
Reference proteome",
Q04724,7088,CCDS6661.1,112943,"identical protein binding;
RNA polymerase II transcription corepressor activity;
transcription factor binding",Repressor,"animal organ morphogenesis;
beta-catenin-TCF complex assembly;
multicellular organism development;
negative regulation of anoikis;
negative regulation of I-kappaB kinase/NF-kappaB signaling;
negative regulation of transcription, DNA-templated;
negative regulation of Wnt signaling pathway;
positive regulation of gene expression;
signal transduction;
transcription, DNA-templated;
Wnt signaling pathway","Transcription;
Transcription regulation;
Wnt signaling pathway","Cytosol;
Nucleus",Nucleus,,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q04725,7089,CCDS45911.1,112944,transcription corepressor activity,Repressor,"animal organ morphogenesis;
beta-catenin-TCF complex assembly;
negative regulation of canonical Wnt signaling pathway;
negative regulation of transcription, DNA-templated;
signal transduction;
transcription, DNA-templated;
Wnt signaling pathway","Transcription;
Transcription regulation;
Wnt signaling pathway","Extracellular region or secreted;
Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q04727,7091,CCDS43837.1,112946,"chromatin binding;
repressing transcription factor binding;
transcription corepressor activity;
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",Repressor,"beta-catenin-TCF complex assembly;
cellular response to leukemia inhibitory factor;
negative regulation of transcription by RNA polymerase II;
transcription, DNA-templated;
Wnt signaling pathway","Transcription;
Transcription regulation;
Wnt signaling pathway",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q05195,4084,CCDS1896.1,110259,"DNA binding transcription factor activity;
protein dimerization activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription cofactor activity;
transcription corepressor activity","DNA-binding;
Repressor","cell proliferation;
multicellular organism development;
negative regulation of transcription by RNA polymerase II;
transcription, DNA-templated","Transcription;
Transcription regulation","Cytosol;
Mitochondrion;
Nucleus",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q05BK6,10342,,,identical protein binding,,COPII vesicle coating,,Golgi apparatus,,,,,
Q05BL1,,,,,,,,,,,,,
Q05D32,51496,CCDS10110.1,119571,phosphoprotein phosphatase activity,"Hydrolase;
Protein phosphatase","negative regulation of BMP signaling pathway;
positive regulation of protein export from nucleus",,Nucleus,,,,"Complete proteome;
Reference proteome",
Q05D60,159989,CCDS44707.1,127746,identical protein binding,,"cell projection organization;
centriole replication;
de novo centriole assembly involved in multi-ciliated epithelial cell differentiation;
multi-ciliated epithelial cell differentiation",Cilium biogenesis/degradation,"Cytoskeleton;
Other locations",Cytoplasm,,,"Complete proteome;
Reference proteome",
Q05GC8,55809,,,DNA binding,,,,"Cytosol;
Nucleus",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
Q06730,7581,CCDS31182.1,113410,"DNA binding;
DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding",DNA-binding,"regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q06732,7582,CCDS7198.1,113411,"DNA binding;
DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding",DNA-binding,"regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q07065,10970,CCDS9103.1,116167,RNA binding,,"cellular protein metabolic process;
neutrophil degranulation;
post-translational protein modification",,"Cytoskeleton;
Cytosol;
Endoplasmic reticulum;
Extracellular region or secreted;
Lysosome;
Nucleus;
Plasma Membrane;
Other locations",,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q07283,7062,CCDS41396.1,112919,"calcium ion binding;
transition metal ion binding",,cornification,Keratinization,"Cytoskeleton;
Cytosol;
Plasma Membrane",,617252,,"Complete proteome;
Reference proteome",
Q08117,166,CCDS12101.1,106675,transcription corepressor activity,Repressor,"animal organ morphogenesis;
cellular response to extracellular stimulus;
multicellular organism development;
negative regulation of canonical Wnt signaling pathway;
negative regulation of gene expression;
negative regulation of protein binding;
negative regulation of response to cytokine stimulus;
negative regulation of transcription, DNA-templated;
negative regulation of transcription by RNA polymerase II;
positive regulation of anoikis;
regulation of growth;
response to interleukin-1;
skeletal system development;
transcription, DNA-templated;
Wnt signaling pathway","Transcription;
Transcription regulation;
Wnt signaling pathway",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q08379,2801,CCDS6896.2,109063,"cadherin binding;
identical protein binding;
importin-alpha family protein binding;
microtubule binding;
protein kinase binding;
syntaxin binding",,"asymmetric cell division;
centrosome cycle;
COPII vesicle coating;
ER to Golgi vesicle-mediated transport;
Golgi disassembly;
Golgi ribbon formation;
microtubule nucleation;
mitotic spindle assembly;
negative regulation of autophagy;
negative regulation of protein binding;
positive regulation of protein glycosylation;
positive regulation of ubiquitin protein ligase activity;
protein glycosylation;
protein homotetramerization;
spindle assembly;
spindle assembly involved in meiosis","Cell cycle;
Cell division;
Mitosis","Cytoskeleton;
Golgi apparatus;
Other locations","Cytoplasm;
Cytoskeleton;
Golgi apparatus;
Membrane;
Microtubule",,,"3D-structure;
Complete proteome;
Reference proteome",
Q08828,107,CCDS34631.1,106621,"adenylate cyclase activity;
ATP binding;
calcium- and calmodulin-responsive adenylate cyclase activity;
calmodulin binding;
guanylate cyclase activity;
metal ion binding","Calmodulin-binding;
Lyase","adenylate cyclase-activating G-protein coupled receptor signaling pathway;
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway;
axonogenesis;
brain development;
cAMP biosynthetic process;
cAMP-mediated signaling;
cellular response to calcium ion;
cellular response to forskolin;
cellular response to glucagon stimulus;
cGMP biosynthetic process;
circadian rhythm;
G-protein coupled receptor signaling pathway;
long-term memory;
regulation of circadian rhythm;
renal water homeostasis;
response to lithium ion;
signal transduction","Biological rhythms;
cAMP biosynthesis","Cytosol;
Extracellular region or secreted;
Nucleus;
Plasma Membrane;
Other locations",,610154,"Deafness;
Non-syndromic deafness","Complete proteome;
Reference proteome",
Q08E86,9703,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
Q09472,2033,CCDS14010.1,108347,"acetyltransferase activity;
activating transcription factor binding;
androgen receptor binding;
beta-catenin binding;
chromatin binding;
chromatin DNA binding;
core promoter binding;
damaged DNA binding;
DNA binding;
histone acetyltransferase activity;
histone butyryltransferase activity;
histone crotonyltransferase activity;
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor;
nuclear hormone receptor binding;
p53 binding;
peptide butyryltransferase activity;
peptide-lysine-N-acetyltransferase activity;
peptide N-acetyltransferase activity;
pre-mRNA intronic binding;
protein C-terminus binding;
protein propionyltransferase activity;
RNA polymerase II activating transcription factor binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
STAT family protein binding;
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding;
transcription coactivator activity;
transcription factor binding;
transferase activity, transferring acyl groups;
zinc ion binding","Acyltransferase;
Transferase","animal organ morphogenesis;
apoptotic process;
B cell differentiation;
beta-catenin-TCF complex assembly;
cellular response to UV;
circadian rhythm;
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest;
fat cell differentiation;
heart development;
histone acetylation;
histone H2B acetylation;
histone H4 acetylation;
internal peptidyl-lysine acetylation;
internal protein amino acid acetylation;
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;
lung development;
macrophage derived foam cell differentiation;
megakaryocyte development;
negative regulation of protein oligomerization;
negative regulation of transcription by RNA polymerase II;
nervous system development;
Notch signaling pathway;
N-terminal peptidyl-lysine acetylation;
peptidyl-lysine acetylation;
peptidyl-lysine butyrylation;
peptidyl-lysine crotonylation;
peptidyl-lysine propionylation;
platelet formation;
positive regulation by host of viral transcription;
positive regulation of DNA binding transcription factor activity;
positive regulation of gene expression, epigenetic;
positive regulation of Notch signaling pathway;
positive regulation of protein binding;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response;
positive regulation of transcription of Notch receptor target;
positive regulation of type I interferon production;
protein acetylation;
protein destabilization;
protein stabilization;
regulation of androgen receptor signaling pathway;
regulation of autophagy;
regulation of cell cycle;
regulation of cellular response to heat;
regulation of megakaryocyte differentiation;
regulation of signal transduction by p53 class mediator;
regulation of transcription, DNA-templated;
regulation of transcription from RNA polymerase II promoter in response to hypoxia;
regulation of tubulin deacetylation;
response to estrogen;
response to hypoxia;
skeletal muscle tissue development;
somitogenesis;
stimulatory C-type lectin receptor signaling pathway;
transcription-coupled nucleotide-excision repair;
viral process","Biological rhythms;
Cell cycle;
Host-virus interaction;
Transcription;
Transcription regulation","Cytosol;
Nucleus;
Other locations","Chromosome;
Cytoplasm;
Nucleus",613684,Disease mutation,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q0IIN7,,,,"ligand-dependent nuclear receptor transcription coactivator activity;
nuclear hormone receptor binding;
protein dimerization activity","Activator;
Receptor","regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
Q0P607,,,,RNA binding,RNA-binding,,,,,,,,
Q0PRL4,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
Q0VAK6,56203,CCDS46862.1,121107,"actin monomer binding;
tropomyosin binding",,"actin filament organization;
actin nucleation;
muscle contraction;
myofibril assembly;
pointed-end actin filament capping;
positive regulation of skeletal muscle fiber development;
skeletal muscle fiber development;
skeletal muscle thin filament assembly;
striated muscle contraction",,"Cytoskeleton;
Other locations","Cytoplasm;
Cytoskeleton",616165,"Disease mutation;
Nemaline myopathy","Complete proteome;
Reference proteome",
Q0VF49,,,,,,,,,,,,"Complete proteome;
Reference proteome",
Q0VG99,145873,CCDS42078.1,126951,"protein dimerization activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding","Developmental protein;
DNA-binding","embryonic pattern specification;
heart morphogenesis;
mesoderm formation;
Notch signaling pathway;
somitogenesis","Notch signaling pathway;
Transcription;
Transcription regulation",Nucleus,Nucleus,608681,Dwarfism,"Complete proteome;
Reference proteome",The number of GQ repeats at position 179 is polymorphic.
Q10571,4330,CCDS42998.1,110473,,"Activator;
Developmental protein","intramembranous ossification;
multicellular organism development;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",,,,Tumor suppressor,"Complete proteome;
Reference proteome",
Q12772,6721,CCDS14023.1,112599,"E-box binding;
protein C-terminus binding;
protein dimerization activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","Activator;
DNA-binding","cellular response to laminar fluid shear stress;
cellular response to low-density lipoprotein particle stimulus;
cellular response to starvation;
cholesterol homeostasis;
cholesterol metabolic process;
lipid metabolic process;
negative regulation of cholesterol efflux;
negative regulation of transcription by RNA polymerase II;
positive regulation of cholesterol storage;
positive regulation of protein targeting to mitochondrion;
positive regulation of transcription by RNA polymerase II;
regulation of autophagy of mitochondrion;
regulation of cholesterol biosynthetic process;
regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter;
transcription, DNA-templated","Cholesterol metabolism;
Lipid metabolism;
Steroid metabolism;
Sterol metabolism;
Transcription;
Transcription regulation","Cytosol;
Endoplasmic reticulum;
Golgi apparatus;
Mitochondrion;
Nucleus;
Other locations",,,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q12774,7984,CCDS34771.1,113696,"GTP binding;
guanyl-nucleotide exchange factor activity;
lipid binding;
Rho guanyl-nucleotide exchange factor activity",Guanine-nucleotide releasing factor,"actin cytoskeleton organization;
G-protein coupled receptor signaling pathway;
intracellular signal transduction;
myeloid dendritic cell chemotaxis;
positive regulation of apoptotic process;
positive regulation of DNA binding transcription factor activity;
positive regulation of GTPase activity;
positive regulation of JUN kinase activity;
positive regulation of podosome assembly;
positive regulation of protein import;
positive regulation of stress fiber assembly;
regulation of actin cytoskeleton organization;
regulation of cytoskeleton organization;
regulation of GTPase activity;
regulation of Rho protein signal transduction;
regulation of small GTPase mediated signal transduction",,"Cytoskeleton;
Cytosol;
Nucleus;
Plasma Membrane;
Other locations","Cell junction;
Cell projection;
Cytoplasm;
Nucleus",,Proto-oncogene,"Complete proteome;
Reference proteome",
Q12800,7024,CCDS55827.1,112882,"DNA binding;
DNA binding transcription factor activity;
protein C-terminus binding;
proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription factor binding",DNA-binding,"mRNA transcription by RNA polymerase II;
regulation of transcription by RNA polymerase II","Transcription;
Transcription regulation","Cytosol;
Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q12830,2186,CCDS11673.1,108481,"metal ion binding;
methylated histone binding;
sequence-specific DNA binding;
transcription factor binding",Chromatin regulator,"anterior/posterior pattern specification;
brain development;
cellular response to nerve growth factor stimulus;
chromatin remodeling;
embryonic placenta development;
endoderm development;
negative regulation of transcription by RNA polymerase II;
positive regulation of transcription, DNA-templated;
regulation of transcription, DNA-templated;
response to wounding;
transcription, DNA-templated","Transcription;
Transcription regulation","Extracellular region or secreted;
Nucleus;
Other locations","Cytoplasm;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q12888,7158,CCDS10096.1,113011,"damaged DNA binding;
methylated histone binding;
p53 binding;
RNA polymerase II activating transcription factor binding;
RNA polymerase II transcription cofactor activity;
telomeric DNA binding;
ubiquitin modification-dependent histone binding","Activator;
DNA-binding","cellular response to DNA damage stimulus;
cellular response to X-ray;
DNA damage checkpoint;
double-strand break repair via nonhomologous end joining;
negative regulation of double-strand break repair via homologous recombination;
positive regulation of DNA binding transcription factor activity;
positive regulation of isotype switching;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
protein homooligomerization;
transcription, DNA-templated","DNA damage;
DNA repair;
Transcription;
Transcription regulation","Nucleus;
Other locations","Centromere;
Chromosome;
Kinetochore;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q13017,394,CCDS32062.1,106887,"GTPase activator activity;
GTPase activity;
GTP binding;
SH2 domain binding",GTPase activation,"cell adhesion;
mammary gland development;
regulation of small GTPase mediated signal transduction;
Rho protein signal transduction",,"Cytosol;
Endoplasmic reticulum;
Plasma Membrane;
Other locations","Cell membrane;
Cytoplasm;
Membrane",,,"3D-structure;
Complete proteome;
Reference proteome",
Q13111,10036,CCDS32875.1,115349,"chromatin binding;
chromo shadow domain binding;
identical protein binding;
unfolded protein binding",Chaperone,"cell cycle;
chromatin assembly;
DNA repair;
DNA replication;
DNA replication-dependent nucleosome assembly","Cell cycle;
DNA damage;
DNA repair;
DNA replication","Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q13488,10312,CCDS53670.1,115597,"ATPase binding;
proton-transporting ATPase activity, rotational mechanism;
transporter activity",,"ATP hydrolysis coupled proton transport;
ATP synthesis coupled proton transport;
cellular defense response;
insulin receptor signaling pathway;
ion transmembrane transport;
macroautophagy;
neutrophil degranulation;
positive regulation of cell proliferation;
protein catabolic process in the vacuole;
proton transmembrane transport;
transferrin transport;
vacuolar acidification;
vacuolar proton-transporting V-type ATPase complex assembly","Hydrogen ion transport;
Ion transport;
Transport","Endosome;
Lysosome;
Plasma Membrane;
Other locations",,259700,"Disease mutation;
Osteopetrosis","Complete proteome;
Reference proteome",
Q13495,10046,CCDS14693.2,115357,,Activator,"male gonad development;
regulation of transcription by RNA polymerase II;
transcription, DNA-templated","Transcription;
Transcription regulation","Cytoskeleton;
Golgi apparatus;
Nucleus",Nucleus,300758,,"Complete proteome;
Reference proteome",
Q13620,8450,CCDS35379.1,114028,ubiquitin protein ligase binding,,"DNA damage response, detection of DNA damage;
G1/S transition of mitotic cell cycle;
global genome nucleotide-excision repair;
histone H2A monoubiquitination;
neuron projection development;
nucleotide-excision repair, DNA damage recognition;
nucleotide-excision repair, DNA incision;
nucleotide-excision repair, DNA incision, 5'-to lesion;
nucleotide-excision repair, preincision complex assembly;
nucleotide-excision repair, preincision complex stabilization;
positive regulation of G1/S transition of mitotic cell cycle;
positive regulation of protein catabolic process;
post-translational protein modification;
proteasomal protein catabolic process;
protein ubiquitination;
transcription-coupled nucleotide-excision repair;
ubiquitin-dependent protein catabolic process;
UV-damage excision repair","Cell cycle;
DNA damage;
DNA repair;
Ubl conjugation pathway","Cytosol;
Extracellular region or secreted;
Nucleus;
Other locations",Nucleus,300354,"Disease mutation;
Dwarfism;
Mental retardation","3D-structure;
Complete proteome;
Reference proteome",
Q13625,7159,CCDS1538.1,113012,"identical protein binding;
NF-kappaB binding;
p53 binding;
SH3/SH2 adaptor activity;
SH3 domain binding",,"cell cycle;
intrinsic apoptotic signaling pathway by p53 class mediator;
negative regulation of cell cycle;
positive regulation of execution phase of apoptosis;
positive regulation of neuron death;
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;
regulation of apoptotic process;
regulation of signal transduction by p53 class mediator;
signal transduction","Apoptosis;
Cell cycle","Cytosol;
Mitochondrion;
Nucleus;
Other locations","Cytoplasm;
Nucleus",,,"3D-structure;
Complete proteome;
Reference proteome",
Q13733,480,CCDS1197.1,106970,"ATP binding;
metal ion binding;
sodium:potassium-exchanging ATPase activity",Hydrolase,"ATP hydrolysis coupled proton transport;
fertilization;
flagellated sperm motility;
potassium ion transport;
regulation of cellular pH;
regulation of membrane potential;
sodium ion transport;
spermatogenesis","Ion transport;
Potassium transport;
Sodium transport;
Sodium/potassium transport;
Transport",Plasma Membrane,,,,"Complete proteome;
Reference proteome",
Q13753,3918,CCDS1352.1,110112,heparin binding,Heparin-binding,"basement membrane assembly;
cell adhesion;
epidermis development;
extracellular matrix organization;
hemidesmosome assembly;
positive regulation of cell migration;
positive regulation of cell proliferation;
system development",Cell adhesion,"Extracellular region or secreted;
Other locations","Basement membrane;
Extracellular matrix;
Secreted",226700,Epidermolysis bullosa,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q13790,319,CCDS44923.1,106816,"cholesterol binding;
lipid transporter activity;
signaling receptor binding",,"cholesterol metabolic process;
lipid metabolic process;
lipid transport","Cholesterol metabolism;
Lipid metabolism;
Lipid transport;
Steroid metabolism;
Sterol metabolism;
Transport",Extracellular region or secreted,"HDL;
LDL;
Secreted",,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q13950,860,CCDS43467.2,107308,"ATP binding;
bHLH transcription factor binding;
chromatin binding;
DNA binding transcription factor activity;
protein domain specific binding;
repressing transcription factor binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding",DNA-binding,"BMP signaling pathway;
cell maturation;
cellular response to BMP stimulus;
chondrocyte development;
chondrocyte differentiation;
embryonic cranial skeleton morphogenesis;
embryonic forelimb morphogenesis;
endochondral ossification;
hemopoiesis;
negative regulation of smoothened signaling pathway;
negative regulation of transcription, DNA-templated;
neuron differentiation;
odontogenesis of dentin-containing tooth;
ossification;
osteoblast development;
osteoblast differentiation;
osteoblast fate commitment;
positive regulation of cell proliferation;
positive regulation of chondrocyte differentiation;
positive regulation of osteoblast differentiation;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus;
regulation of cell differentiation;
regulation of fibroblast growth factor receptor signaling pathway;
regulation of odontogenesis of dentin-containing tooth;
regulation of transcription by RNA polymerase II;
stem cell differentiation;
T cell differentiation;
transcription initiation from RNA polymerase II promoter","Differentiation;
Transcription;
Transcription regulation","Cytosol;
Nucleus;
Other locations",Nucleus,"156510;
119600",Disease mutation,"Complete proteome;
Reference proteome",
Q13952,4802,CCDS44120.1,110868,"DNA binding;
DNA binding transcription factor activity;
protein heterodimerization activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription coactivator activity;
transcription factor binding","Activator;
DNA-binding","protein folding;
regulation of cholesterol biosynthetic process;
regulation of transcription, DNA-templated;
regulation of transcription by RNA polymerase II","Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q14119,7716,CCDS32687.1,113509,"metal ion binding;
RNA polymerase II regulatory region sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","Activator;
DNA-binding","angiogenesis;
cellular defense response;
endothelial cell development;
positive regulation of endothelial cell differentiation;
positive regulation of transcription by RNA polymerase II;
regulation of transcription by RNA polymerase II;
transcription by RNA polymerase II","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q14146,9816,CCDS31052.1,115155,,,ribosome biogenesis,,"Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q14157,9898,CCDS1063.1,115227,RNA binding,,"binding of sperm to zona pellucida;
hematopoietic stem cell homeostasis;
positive regulation of gene expression",,"Nucleus;
Other locations",,,,"Complete proteome;
Reference proteome",
Q14320,9130,CCDS14751.1,114578,RNA binding,,spermatogenesis,,Nucleus,Nucleus,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q14667,9703,CCDS32595.1,115055,,,,,Extracellular region or secreted,Secreted,,,"Complete proteome;
Reference proteome",
Q14671,9698,CCDS338.1,115050,"miRNA binding;
mRNA 3'-UTR binding;
RNA binding",RNA-binding,"adult locomotory behavior;
mRNA destabilization;
positive regulation of gene silencing by miRNA;
positive regulation of RIG-I signaling pathway;
posttranscriptional gene silencing;
posttranscriptional regulation of gene expression;
production of miRNAs involved in gene silencing by miRNA;
regulation of cell cycle;
regulation of chromosome segregation;
regulation of gene silencing by miRNA;
regulation of mRNA stability;
spermatogenesis;
stem cell differentiation","Differentiation;
Spermatogenesis;
Translation regulation","Cytosol;
Nucleus;
Other locations",Cytoplasm,,,"3D-structure;
Complete proteome;
Reference proteome",
Q14686,23054,CCDS13241.1,116691,"chromatin binding;
enzyme binding;
estrogen receptor binding;
ligand-dependent nuclear receptor transcription coactivator activity;
retinoid X receptor binding;
thyroid hormone receptor binding;
transcription coactivator activity",Activator,"brain development;
cellular response to DNA damage stimulus;
DNA recombination;
DNA repair;
DNA replication;
DNA-templated transcription, initiation;
glucocorticoid receptor signaling pathway;
heart development;
intracellular estrogen receptor signaling pathway;
myeloid cell differentiation;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
regulation of lipid metabolic process;
response to hormone","Transcription;
Transcription regulation","Cytosol;
Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
Q14690,22984,CCDS31276.1,116633,"RNA binding;
transcription factor binding",,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);
mRNA processing;
rRNA processing",rRNA processing,"Cytosol;
Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q14738,5528,CCDS43464.1,111520,"phosphoprotein phosphatase activity;
protein phosphatase regulator activity;
protein serine/threonine phosphatase activity",,"nervous system development;
positive regulation of protein dephosphorylation;
protein dephosphorylation;
signal transduction",,"Cytosol;
Nucleus;
Other locations","Cytoplasm;
Nucleus",616355,"Disease mutation;
Mental retardation","Complete proteome;
Direct protein sequencing;
Reference proteome",
Q14766,4052,CCDS33177.2,110230,"calcium ion binding;
microfibril binding;
transforming growth factor beta-activated receptor activity;
transforming growth factor beta binding",Growth factor binding,"aorta development;
cellular protein metabolic process;
coronary vasculature development;
post-translational protein modification;
sequestering of TGFbeta in extracellular matrix;
ventricular septum development",,"Endoplasmic reticulum;
Extracellular region or secreted;
Other locations",Secreted,,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q14774,3142,CCDS1527.1,109387,"RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding",DNA-binding,"cell differentiation;
embryonic digestive tract morphogenesis;
enteric nervous system development;
liver development;
multicellular organism development;
negative regulation of T-helper 2 cell differentiation;
positive regulation of cell proliferation;
positive regulation of organ growth;
positive regulation of T-helper 1 cell differentiation;
skeletal muscle tissue development;
transcription, DNA-templated","Differentiation;
Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
